Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
USAspending Terminations,CO-07,Lockheed Martin Corp,80MSFC22CA005,P00032,,,2022-03-01,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-30,P00032,2025-09-30,,,2022-03-01,2025-09-30,period_of_performance,2028-07-31,103080002.51,96355083.30,MARS ASCENT VEHICLE INTEGRATED SYSTEM (MAVIS),termination_action_code,Terminate-for-convenience action P00032 on 2025-09-30,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC22CA005_8000_-NONE-_-NONE-/,,,,
NASA Procurement Data View,CO-07,Lockheed Martin Corp,80MSFC21CA001,P00019,,,2021-08-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-03,P00019,2026-04-03,,,2021-08-06,2026-04-03,period_of_performance,2024-11-16,69721101.00,69721101.00,"TIPPING POINT CRYOGENIC DEMONSTRATION MISSION (CDM)ESTABLISH THE FINAL SETTLEMENT BETWEEN THE GOVERNMENT AND CONTRACTOR RESULTING FROM THE TERMINATION FOR CONVENIENCE OF CONTRACT NO. 80MSFC21CA001 ISSUED ON AUGUST 8, 2024.",description_keyword,,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC21CA001_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,CA-16,Lockheed Martin Corporation,NNG09FA40C,118,,,2009-09-30,C,FUNDING ONLY ACTION,2026-08-05,117,2026-08-03,,,2009-10-01,2027-09-30,period_of_performance,2010-04-30,194065277.28,35847593.80,"THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PARTIAL TERMINATION SETTLEMENT AND REDUCE THE CONTRACT VALUE ACCORDINGLY.   THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) IS A NASA SMALL EXPLORER MISSION THAT OBSERVES THE SUN'S CHROMOSPHERE AND TRANSITION REGION, ALSO KNOWN AS THE INTERFACE REGION. IRIS IS DESIGNED TO STUDY HOW ENERGY AND PLASMA MOVE WITHIN THIS REGION, WHICH HELPS US UNDERSTAND HOW THE SUN'S CORONA IS HEATED AND HOW SOLAR ACTIVITY IMPACTS EARTH'S SPACE ENVIRONMENT. THIS MISSION FILLS A CRUCIAL GAP IN OUR ABILITY TO ADVANCE SUN-EARTH CONNECTION STUDIES BY TRACING THE FLOW OF ENERGY AND PLASMA INTO THE CORONA AND HELIOSPHERE FOR WHICH NO SUITABLE OBSERVATIONS EXIST.",termination_action_code,Terminate-for-convenience action 117 on 2026-08-03,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,LA-06,Louisiana State University,80NSSC24K1472,P00004,A,NEW,2024-09-06,D,ADJUSTMENT TO COMPLETED PROJECT,2026-07-15,,,P00004,2026-07-15,2024-08-01,2026-01-31,period_of_performance,2026-01-31,48606.43,48606.43,23-ASTRO23-0088  IDENTIFYING A POPULATION OF MAGNETAR GIANT FLARES,obligation_clawback,"Pure-clawback deobligation P00003 on 2025-09-13 (40% of $80,816)","educational_institution, government, higher_education, national_government, public_institution_of_higher_education, regional_and_state_government, school_of_forestry, veterinary_college",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1472_080/,,,,
USAspending Terminations,IN-09,"MSP Aviation, Inc.",80GRC022AA017,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00003 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA017_8000/,,,,
NASA Procurement Data View,CA-51,"Malin Space Science Systems, Inc",80GSFC23PA006,P00003,,,2023-01-12,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-06-18,P00003,2025-06-18,,,2023-01-17,2024-01-11,period_of_performance,2024-10-16,862225.00,862225.00,"TERMINATION FOR CONVENIENCE AGREEMENT - MARS SAMPLE RETURN CAMPAIGN CAPTURE, CONTAINMENT, AND RETURN SAMPLE (CCRS) CAMERA",description_keyword,,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23PA006_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,MA-07,Massachusetts Institute of Technology,80NSSC23K1269,P00001,A,NEW,2023-07-28,D,ADJUSTMENT TO COMPLETED PROJECT,2025-02-11,,,P00001,2025-02-11,2023-08-15,2025-02-12,period_of_performance,2026-08-14,0.00,0.00,22-SSW22-0043  TESTING THE GIANT IMPACT ORIGIN OF THE MARS HEMISPHERIC DICHOTOMY: NOVEL MODELS OF IMPACT DYNAMICS AND POST-IMPACT CRUSTAL FLOW,obligation_clawback,"Pure-clawback deobligation P00001 on 2025-02-11 (100% of $86,135)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC23K1269_080/,,,,
DOGE,MA-07,Massachusetts Institute of Technology,80NSSC22K1673,P00003,A,NEW,2022-08-19,B,CONTINUATION,2025-03-21,,,,,2022-09-01,2025-03-21,period_of_performance,2024-08-31,250000.00,250000.00,DOGE Action Date: 3/21/2025. Reported savings: $0.  applying the evdt integrated modeling framework for environmental justice applications - termination for convenience - earth science applications: equity and environmental justice support for science mission directorate (SMD/ESD) ,external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC22K1673_080/,DOGE,,0.0,3/21/2025
USAspending Terminations,DC-98,"McKinsey & Company, Inc. Washington D.C.",80NSSC24AA013,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-13,P00004,2025-03-13,,,2024-01-29,2025-03-12,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPA'S FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2025-03-13,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA013_8000/,,,,
DOGE,IL-07,"Messe Dusseldorf North America, Inc.",80NSSC25PA641,P00002,,,2025-02-27,C,FUNDING ONLY ACTION,2025-06-17,P00001,2025-04-08,,,2025-05-19,2025-05-22,period_of_performance,2025-05-22,0.00,0.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Booth space for NASA at association for unmanned/uncrewed vehicle systems international 2025,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, foreign_owned, foreign_owned_and_us_located_business, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA641_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
USAspending Terminations,MN-05,Minco Products Inc,80NSSC26P0347,P00001,,,2026-03-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-28,P00001,2026-05-28,,,2026-03-19,2026-04-23,period_of_performance,2026-04-23,0.00,0.00,PURCHASE OF CUSTOMIZED HEATERS,termination_action_code,Terminate-for-convenience action P00001 on 2026-05-28,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-/,,,,
DOGE,MA-03,"National Quality Assurance - U.S.A., Inc.",80NSSC25FA315,P00001,,,2025-03-28,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-05-05,P00001,2025-05-05,,,2025-05-05,2025-05-08,period_of_performance,2025-05-08,0.00,0.00,"Status: TERMINATED. Reported savings: $28,832.00. DOGE Action Date: 6/30/2025. Administrative management and general management consulting services: as9100 audit at armstrong flight research center, national aeronautics and space administration",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, foreign_owned, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA315_8000_80NSSC24AA005_8000/,DOGE,TERMINATED,28832.0,6/30/2025
DOGE,VA-08,"National Society of Black Physicists, Inc.",80NSSC24K0944,P00001,A,NEW,2024-06-20,B,CONTINUATION,2025-03-21,,,,,2024-04-01,2025-03-21,period_of_performance,2027-03-31,99751.00,99751.00,"DOGE Action Date: 3/21/2025. Reported savings: $199,502.00. National society of black physicists/national society of hispanic physicists student leadership development summit",external_claim,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0944_080/,DOGE,,199502.0,3/21/2025
DOGE,DC-98,"National Society of Black Physicists, Inc.",80NSSC24K1845,P00004,A,NEW,2024-09-12,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-20,,,P00004,2026-03-20,2024-10-15,2025-03-21,period_of_performance,2027-10-14,299960.00,299960.00,"DOGE Action Date: 3/21/2025. Reported savings: $241,961.00. National society of black physicists/national society of hispanic physicists joint annual conferences 2024-26",external_claim,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC24K1845_080/,DOGE,,241961.0,3/21/2025
DOGE,NY-13,Natural Areas Conservancy Inc,80NSSC24K0520,P00002,A,NEW,2024-06-28,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-15,,,P00002,2025-08-15,2024-04-01,2025-03-21,period_of_performance,2027-03-31,315207.82,315207.82,DOGE Action Date: 3/21/2025. Reported savings: $0.  assessing access to nature and their benefits in ej communities across US cities - interdisciplinary research in earth sciences for support for science mission directorate (SMD/ESD) ,external_claim,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0520_080/,DOGE,,0.0,3/21/2025
NASA Procurement Data View,MD-04,Newton LLC,80GSFC22CA021,P00015,,,2022-03-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-06-17,P00015,2025-06-17,,,2022-03-07,2024-01-02,period_of_performance,2024-07-24,4459975.78,4459975.78,"TERMINATION FOR CONVENIENCE AGREEMENT - CAPTURE, CONTAINMENT RETURN SYSTEM (CCRS) CAPTURE LID MECHANISM (CLM)",description_keyword,,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, manufacturer_of_goods, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-/,,,,
DOGE,CA-47,"Noreas, Inc.",80KSC020F0077,P00008,,,2020-07-13,M,OTHER ADMINISTRATIVE ACTION,2025-04-22,,,,,2020-08-01,2025-07-31,period_of_performance,2021-07-31,2594431.77,2594431.77,"Status: Expired. Reported savings: $2,643,830.00. DOGE Action Date: 3/20/2025. Environmental consulting services",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80KSC020F0077_8000_GS00F373GA_4732/,DOGE,Expired,2643830.0,3/20/2025
USAspending Terminations,VA-03,North Wind Systems LLC,80GRC022AA023,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00002 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA023_8000/,,,,
USAspending Terminations,MD-01,Northrop Grumman Systems Corporation,80MSFC21C0010,P00043,,,2021-03-04,C,FUNDING ONLY ACTION,2026-07-14,P00042,2025-09-30,,,2021-03-04,2025-09-30,period_of_performance,2026-03-03,80635452.00,79087279.25,MARS ASCENT PROPULSION SYSTEM (MAPS),termination_action_code,Terminate-for-convenience action P00042 on 2025-09-30,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC21C0010_8000_-NONE-_-NONE-/,,,,
DOGE,CO-06,Nuburu Inc.,80NSSC24CA161,P00002,,,2024-08-08,E,TERMINATE FOR DEFAULT (COMPLETE OR PARTIAL),2025-03-11,P00002,2025-03-11,,,2024-08-08,2025-03-05,period_of_performance,2026-08-07,849989.00,0.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 4/4/2025. Sbir phase ii - blue-plume - blue laser planetary and lunar management of electrical power,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24CA161_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,4/4/2025
DOGE,OH-07,Ohio Aerospace Institute,80NSSC24K0114,P00003,A,NEW,2023-11-16,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-20,,,P00003,2026-03-20,2023-10-18,2025-03-21,period_of_performance,2028-10-17,94143.09,94143.09,"DOGE Action Date: 3/21/2025. Reported savings: $218,736.00. Here to observe student engagement program: ohio and puerto rico space grant consortiums",external_claim,,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0114_080/,DOGE,,218736.0,3/21/2025
DOGE,OK-03,Oklahoma State University,80NSSC21M0005,P00008,A,NEW,2020-12-01,D,ADJUSTMENT TO COMPLETED PROJECT,2025-07-22,,,P00008,2025-07-22,2021-01-01,2025-03-21,period_of_performance,2025-12-31,2141868.19,2141868.19,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/24/2025. The primary objective of the  native earth | native sky  (NENS) program is to build culturally-relevant earth-sky stem programming for middle schoolers in three oklahoma native american nations that will increase the students  understanding of - termination for convenience agreement  - science activation program integration/ science engagement & partnerships division for support for science mission directorate (SMD),external_claim,TERMINATED,"category_business, educational_institution, higher_education, minority_owned_business, nonprofit, other_minority_owned_business, other_than_small_business, public_institution_of_higher_education, veterinary_college",https://www.usaspending.gov/award/ASST_NON_80NSSC21M0005_080/,DOGE,TERMINATED,0.0,3/24/2025
DOGE,VA-11,"Overlook Systems Technologies, Inc.",80HQTR21F0124,P00022,,,2021-04-20,M,OTHER ADMINISTRATIVE ACTION,2025-03-17,,,,,2021-05-01,2025-02-13,period_of_performance,2022-04-30,2472244.00,2471451.42,"Status: Expired. Reported savings: $4,390,932.00. DOGE Action Date: 3/20/2025. Provide contractor subject matter expertise in the
  areas of u.s. and international space policy as well as pnt policy, technology, engineering, and
  related applications",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR21F0124_8000_GS10F0100T_4730/,DOGE,Expired,4390932.0,3/20/2025
DOGE,OR-01,Pacific Research & Evaluation LLC,80NSSC23PB368,P00001,,,2023-09-22,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-06,P00001,2025-03-06,,,2023-09-01,2025-03-06,period_of_performance,2025-12-31,183337.00,119413.50,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/1/2025. Audience evaluation of engagement content and materials,external_claim,TERMINATED,"category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23PB368_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/1/2025
DOGE,DC-98,Partnership for Public Service Inc,80NSSC24PC394,P00001,,,2024-09-12,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-11,P00001,2025-03-11,,,2024-10-01,2025-03-11,period_of_performance,2025-09-30,28750.00,28750.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/28/2025. Partnership for public service. membership in the federal human capital collaborative,external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC394_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/28/2025
USAspending Terminations,CA-28,Pasadena Area Community College District,80NSSC24K0890,P00003,A,NEW,2024-08-06,B,CONTINUATION,2026-05-13,,,P00002,2025-06-10,2024-04-08,2027-04-07,period_of_performance,2027-04-07,252523.00,0.00,19-DISC19-0006  VERITAS STUDENT OPPORTUNITIES IN ACADEMICS AND RESEARCH (SOAR),obligation_clawback,"Pure-clawback deobligation P00002 on 2025-06-10 (42% of $436,749)","educational_institution, government, higher_education, local_government, minority_owned_business, minority_serving_institution_of_higher_education, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0890_080/,,,,
DOGE,VA-08,"Politico, LLC",80NSSC24PA609,P00001,,,2024-02-28,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-18,P00001,2025-02-18,,,2024-03-11,2025-02-18,period_of_performance,2025-03-10,10600.00,10600.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/13/2025. Politico pro agreement for ocfo,external_claim,TERMINATED,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,2/13/2025
DOGE,VA-08,"Politico, LLC",80NSSC24PA723,P00001,,,2024-03-22,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-02-18,P00001,2025-02-18,,,2024-05-03,2025-02-18,period_of_performance,2026-05-02,202600.00,202600.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/19/2025. Renewal for politico pro service for olia,external_claim,TERMINATED,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,3/19/2025
USAspending Terminations,FL-08,"Precision Fabricating & Cleaning Company, Inc.",80GRC022AA018,P00003,M,OTHER ADMINISTRATIVE ACTION,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00003 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, small_business, special_designations, subchapter_s_corporation, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA018_8000/,,,,
NASA Procurement Data View,MA-05,President and Fellows of Harvard College,80NSSC24M0193,P00004,A,NEW,2024-09-16,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-12,,,P00004,2025-08-12,2024-08-01,2025-05-09,period_of_performance,2025-07-31,19299.47,19299.47,TERMINATION FOR CONVENIENCE AGREEMENT - NASA OPEN INNOVATION RESEARCH -SUPPORT FOR STMD DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC24M0193_080/,,,,
NASA Procurement Data View,MA-05,President and Fellows of Harvard College,80NSSC19K0326,P00020,A,NEW,2019-04-02,B,CONTINUATION,2025-09-09,,,,,2019-01-01,2025-12-31,period_of_performance,2023-12-31,7680199.00,7296509.00,"THE TERMINATION HAS BEEN VACATED AND SET ASIDE PURSUANT TO THE ORDER ENTERED ON SEPTEMBER 3, 2025, IN PRESIDENT AND FELLOWS OF HARVARD COLLEGE V. US DEPARTMENT OF HEALTH AND HUMAN SERVICES ET AL., 1:25-CV-11048 (D. MASS).THERE IS A COMPELLING NEED FOR INTENSIVE STUDY OF CONVECTIVE IMPACTS ON THE SUMMER STRATOSPHERE OVER NORTH AMERICA. EACH SUMMER THE NORTH AMERICAN MONSOON ANTICYCLONE (NAMA) DOMINATES THE CIRCULATION OF THE NORTH-WESTERN HEMISPHERE AND ACTS TO PARTIALLY CONFINE AND ISOLATE AIR FROM THE SURROUNDING ATMOSPHERE. STRONG CONVECTIVE STORMS IN THE NAMA REGULARLY PENETRATE DEEP INTO THE LOWER STRATOSPHERE (LS), WITH SOME ASCENDING ABOVE 20 KM (~450 K POTENTIAL TEMPERATURE). THE UNIQUENESS OF THE NAMA REGION IS MOST EASILY SEEN IN SATELLITE MEASUREMENTS OF WATER VAPOR, WHICH SHOW A LARGE ENHANCEMENT IN THE LS OVER NORTH AMERICA NOT SEEN EITHER IN MAGNITUDE OR AT SUCH HIGH LATITUDES ELSEWHERE AROUND THE GLOBE. BUT THE COUPLING OF TROPOPAUSE-PENETRATING CONVECTION WITH LARGE-SCALE MONSOONAL MOTION IS POORLY UNDERSTOOD, AS IS THE IMPACT OF CONVECTION ON THE CHEMICAL COMPOSITION OF THE LS, BOTH IN MONSOON REGIONS AND IN THE GLOBAL STRATOSPHERE, WHICH RECEIVES INPUTS OF MOIST AND POLLUTED MONSOON AIR FROM THE NAMA. THE DYNAMICS AND CHEMISTRY OF THE SUMMER STRATOSPHERE (DCOTSS) PROPOSAL DIRECTLY ADDRESSES THIS KNOWLEDGE GAP.",description_keyword,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC19K0326_080/,,,,
DOGE,MA-05,President and Fellows of Harvard College,80NSSC21K1443,P00006,A,NEW,2021-08-21,D,ADJUSTMENT TO COMPLETED PROJECT,2026-07-06,,,P00006,2026-07-06,2021-08-01,2025-07-31,period_of_performance,2024-07-31,586625.65,586625.65,DOGE Action Date: 5/12/2025. Reported savings: $0.  NASA airborne observations of oxygenated volatile organic compounds over korea ,external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, private_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC21K1443_080/,DOGE,,0.0,5/12/2025
USAspending Terminations,IN-06,Prime Property Scans LLC,80NSSC26P0407,P00001,,,2026-04-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-04-21,P00001,2026-04-21,,,2026-05-01,2026-04-21,period_of_performance,2027-04-30,0.00,0.00,SPIRAL TECHNOLOGY SOFTWARE SUPPORT RENEWAL,termination_action_code,Terminate-for-convenience action P00001 on 2026-04-21,"black_american_owned_business, category_business, minority_owned_business, self_certified_small_disadvanted_business, small_business, sole_proprietorship, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC26P0407_8000_-NONE-_-NONE-/,,,,
DOGE,CA-51,Qualcomm Technologies Inc,80NSSC24PC363,P00002,,,2024-09-12,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00002,2025-04-08,,,2024-10-01,2025-04-08,period_of_performance,2025-09-30,6000.00,0.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Qualcomm 5g learning - four subscriptions,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC363_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
DOGE,IA-01,R3 Uniq Inc,80NSSC24PB720,P00001,,,2024-07-15,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00001,2025-04-08,,,2024-07-15,2025-04-08,period_of_performance,2025-07-14,71648.90,71648.90,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 4/11/2025. Omnest network simulation software licenses and support,external_claim,TERMINATED,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, subcontinent_asian_indian_american_owned_business, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB720_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,4/11/2025
